Id,EventDate,Email,FirstName,LastName,Gate,Company,Task,StartTime,EndTime,ToBeProcessed,ProcessedDateTime,ProcessTask,ExcelUpload,DinerVoucher,ParkingTicket,created_by,created_at,modified_by,modified_at,PassNumber,ClothingSize,evenement_id,Location,ticketNumber,ticketCode,ticketId,TixngoStatus,TixngoErrorMessage,XScontrolStatus,XScontrolErrorMessage,ToBeProcessedXSControl,vak,rij,stoel
13,2025-03-16,tim.van_dijk@email.nl,Tim,Van Dijk,B,4,Catering,18:00,22:00,1,2025-03-16 17:20:00,Archive,5,1,0,9,2025-03-16 08:16:00,2,2025-03-16 14:00:00,P27601,M,1,Noordtribune,TKT-AJX001-1012,BC384756779,395B332D,Sent,,OK,,0,108,23,22
14,2025-03-16,tim.mulder@email.nl,Tim,Mulder,E,1,Steward,18:00,22:00,1,2025-03-16 18:46:00,Assign,1,0,1,3,2025-03-16 09:43:00,5,2025-03-16 10:41:00,P67912,XL,1,Persbox,TKT-AJX001-1013,BC781007818,74C00545,Error,,OK,Kaart niet herkend,0,116,18,3
15,2025-03-16,fleur.meijer@email.nl,Fleur,Meijer,A,5,Catering,18:00,22:00,0,2025-03-16 18:55:00,Assign,2,0,0,6,2025-03-16 10:19:00,9,2025-03-16 13:46:00,P63264,XL,1,Persbox,TKT-AJX001-1014,BC693269304,C7469F09,Delivered,,OK,,0,109,29,27
16,2025-03-16,sander.visser@email.nl,Sander,Visser,G,4,Catering,18:00,22:00,0,2025-03-16 18:40:00,Send,4,0,1,4,2025-03-16 07:51:00,8,2025-03-16 11:29:00,P50001,S,1,Zuidtribune,TKT-AJX001-1015,BC890880074,EC262A33,Sent,,Error,,0,121,25,18
17,2025-03-16,fleur.mulder@email.nl,Fleur,Mulder,I,6,Steward,18:00,22:00,0,2025-03-16 18:52:00,Assign,2,1,0,2,2025-03-16 09:32:00,7,2025-03-16 11:28:00,P51114,L,1,VIP,TKT-AJX001-1016,BC646970178,B2232579,Sent,,Pending,,0,125,23,28
18,2025-03-16,sander.van_dijk@email.nl,Sander,Van Dijk,L,4,Catering,18:00,22:00,1,2025-03-16 17:08:00,Assign,5,1,0,5,2025-03-16 09:09:00,5,2025-03-16 12:50:00,P63528,M,1,Westtribune,TKT-AJX001-1017,BC965984448,4B73A9C5,Opened,,OK,,1,134,22,12
19,2025-03-16,julia.smit@email.nl,Julia,Smit,D,7,Schoonmaak,18:00,22:00,1,2025-03-16 17:59:00,Archive,4,0,1,3,2025-03-16 09:48:00,2,2025-03-16 11:12:00,P77561,XXL,1,Persbox,TKT-AJX001-1018,BC688343096,EF19A341,Opened,Timeout bij verzenden,OK,,0,100,26,13
20,2025-03-16,lars.de_jong@email.nl,Lars,De Jong,J,2,Medisch,18:00,22:00,1,2025-03-16 18:53:00,Validate,4,1,1,4,2025-03-16 07:37:00,1,2025-03-16 13:48:00,P23970,L,1,Zuidtribune,TKT-AJX001-1019,BC149621604,E6501904,Delivered,,Pending,,0,115,18,16
21,2025-03-16,emma.de_vries@email.nl,Emma,De Vries,I,10,Catering,18:00,22:00,1,2025-03-16 18:18:00,Archive,5,1,0,8,2025-03-16 08:55:00,5,2025-03-16 13:12:00,P42406,XXL,1,Oosttribune,TKT-AJX001-1020,BC243171768,6501515C,Error,,Error,,1,129,8,18
22,2025-03-16,niels.bakker@email.nl,Niels,Bakker,D,7,Coördinator,18:00,22:00,0,,Validate,1,1,1,6,2025-03-16 09:18:00,8,2025-03-16 11:46:00,P18161,S,1,Westtribune,TKT-AJX001-1021,BC679984033,43A41A5F,Error,,Pending,,0,105,28,37
23,2025-03-16,rick.de_vries@email.nl,Rick,De Vries,G,7,Schoonmaak,18:00,22:00,0,,Archive,2,1,1,8,2025-03-16 07:07:00,7,2025-03-16 11:26:00,P97670,XXL,1,Westtribune,TKT-AJX001-1022,BC106330865,FF046864,Delivered,,OK,,0,122,30,26
24,2025-03-16,sander.jansen@email.nl,Sander,Jansen,H,3,Steward,18:00,22:00,1,,Archive,3,0,1,6,2025-03-16 08:26:00,7,2025-03-16 11:11:00,P65255,M,1,Noordtribune,TKT-AJX001-1023,BC790147183,B050AF97,Error,Timeout bij verzenden,Pending,Kaart niet herkend,1,127,8,5
25,2025-03-16,lotte.bos@email.nl,Lotte,Bos,A,10,Beveiliging,18:00,22:00,0,,Validate,4,0,0,8,2025-03-16 09:59:00,5,2025-03-16 13:16:00,P58351,S,1,VIP,TKT-AJX001-1024,BC133318206,8F689D6E,Sent,,OK,,0,115,19,2
26,2025-03-16,julia.meijer@email.nl,Julia,Meijer,L,4,Steward,18:00,22:00,0,2025-03-16 17:13:00,Assign,5,0,0,6,2025-03-16 09:16:00,7,2025-03-16 12:49:00,P58571,XS,1,VIP,TKT-AJX001-1025,BC827296111,F9DB4D16,Opened,Timeout bij verzenden,Error,,0,124,14,24
27,2025-03-16,joost.hendriks@email.nl,Joost,Hendriks,I,5,Schoonmaak,18:00,22:00,1,,Archive,4,1,1,4,2025-03-16 10:32:00,2,2025-03-16 11:11:00,P69087,S,1,Westtribune,TKT-AJX001-1026,BC264272995,A2FC8E9B,Error,,Error,,0,127,16,14
28,2025-03-16,fleur.bos@email.nl,Fleur,Bos,J,5,Schoonmaak,18:00,22:00,0,,Validate,1,0,1,8,2025-03-16 09:22:00,4,2025-03-16 12:56:00,P72402,XXL,1,Persbox,TKT-AJX001-1027,BC377403790,B960153B,Error,,OK,Kaart niet herkend,0,121,13,16
29,2025-03-16,julia.mulder@email.nl,Julia,Mulder,I,6,Medisch,18:00,22:00,1,2025-03-16 17:45:00,Archive,3,1,1,4,2025-03-16 07:30:00,4,2025-03-16 11:20:00,P25670,XXL,1,VIP,TKT-AJX001-1028,BC724440558,5448D81B,Delivered,,Pending,,1,123,4,13
30,2025-03-16,julia.van_den_berg@email.nl,Julia,Van den Berg,L,9,Beveiliging,18:00,22:00,1,2025-03-16 17:05:00,Send,5,1,0,8,2025-03-16 07:26:00,1,2025-03-16 12:26:00,P47268,L,1,Westtribune,TKT-AJX001-1029,BC487493096,31FFB8AD,Error,,OK,,1,111,4,5
31,2025-03-16,rick.de_vries@email.nl,Rick,De Vries,A,3,Beveiliging,18:00,22:00,1,2025-03-16 17:10:00,Validate,1,1,0,9,2025-03-16 08:37:00,8,2025-03-16 13:52:00,P68028,M,1,VIP,TKT-AJX001-1030,BC179545125,C3EC746A,Error,,Pending,Kaart niet herkend,0,136,25,14
32,2025-03-16,tim.peters@email.nl,Tim,Peters,C,9,Steward,18:00,22:00,0,,Send,4,1,1,5,2025-03-16 07:08:00,4,2025-03-16 11:13:00,P47056,XXL,1,Westtribune,TKT-AJX001-1031,BC809129316,3C009514,Sent,,Error,,0,105,14,8
33,2025-03-16,lisa.van_den_berg@email.nl,Lisa,Van den Berg,C,2,Steward,18:00,22:00,0,2025-03-16 18:41:00,Assign,5,1,1,2,2025-03-16 08:59:00,5,2025-03-16 12:59:00,P62757,M,1,VIP,TKT-AJX001-1032,BC795392488,4765B891,Error,,Pending,Kaart niet herkend,1,109,24,21
34,2025-03-16,bas.de_jong@email.nl,Bas,De Jong,J,10,Steward,18:00,22:00,1,2025-03-16 18:13:00,Send,2,1,1,5,2025-03-16 07:46:00,10,2025-03-16 11:51:00,P93202,L,1,Noordtribune,TKT-AJX001-1033,BC198061499,5CC87501,Error,,Error,,0,114,28,11
35,2025-03-16,niels.smit@email.nl,Niels,Smit,G,9,Steward,18:00,22:00,1,,Send,3,1,1,2,2025-03-16 10:17:00,7,2025-03-16 13:41:00,P77449,XS,1,Persbox,TKT-AJX001-1034,BC844826434,65A11B15,Error,,OK,,1,131,21,29
36,2025-03-16,lotte.van_den_berg@email.nl,Lotte,Van den Berg,E,8,Coördinator,18:00,22:00,1,,Send,1,0,0,5,2025-03-16 09:21:00,1,2025-03-16 12:21:00,P63476,XS,1,Zuidtribune,TKT-AJX001-1035,BC386749454,D7C2C050,Sent,,OK,,0,135,16,19
37,2025-03-16,jeroen.hendriks@email.nl,Jeroen,Hendriks,H,4,Medisch,18:00,22:00,0,2025-03-16 17:49:00,Validate,5,0,0,5,2025-03-16 10:17:00,7,2025-03-16 11:27:00,P76550,M,1,Noordtribune,TKT-AJX001-1036,BC393587744,4388F8D9,Opened,,Pending,,1,126,28,10
38,2025-03-16,joost.van_dijk@email.nl,Joost,Van Dijk,I,7,Medisch,18:00,22:00,1,2025-03-16 18:51:00,Validate,2,1,0,7,2025-03-16 07:11:00,6,2025-03-16 13:10:00,P71993,XXL,1,Westtribune,TKT-AJX001-1037,BC620057604,E0EAF421,Error,,Pending,,1,122,2,9
39,2025-03-16,jeroen.meijer@email.nl,Jeroen,Meijer,H,2,Schoonmaak,18:00,22:00,1,2025-03-16 17:01:00,Validate,4,0,0,8,2025-03-16 10:20:00,5,2025-03-16 11:26:00,P91691,XXL,1,Westtribune,TKT-AJX001-1038,BC456476596,B505AD56,Sent,,Pending,,1,106,11,32
40,2025-03-16,lisa.de_jong@email.nl,Lisa,De Jong,K,5,Beveiliging,18:00,22:00,0,,Archive,1,0,1,3,2025-03-16 09:57:00,5,2025-03-16 13:51:00,P13794,XS,1,Oosttribune,TKT-AJX001-1039,BC762992051,B7851A20,Sent,,Error,,0,104,17,27
41,2025-03-16,sophie.visser@email.nl,Sophie,Visser,G,10,Coördinator,18:00,22:00,0,2025-03-16 18:03:00,Validate,2,1,1,8,2025-03-16 08:05:00,1,2025-03-16 13:50:00,P70981,M,1,Persbox,TKT-AJX001-1040,BC287979290,FD5A9598,Delivered,Timeout bij verzenden,Error,,1,105,21,28
42,2025-03-16,bas.de_vries@email.nl,Bas,De Vries,H,2,Beveiliging,18:00,22:00,1,2025-03-16 18:13:00,Assign,5,1,1,1,2025-03-16 10:32:00,7,2025-03-16 11:10:00,P11061,XL,1,Persbox,TKT-AJX001-1041,BC424400672,968184A3,Sent,,Pending,,1,112,25,15
43,2025-03-16,fleur.van_den_berg@email.nl,Fleur,Van den Berg,K,3,Coördinator,18:00,22:00,0,2025-03-16 18:55:00,Send,3,1,0,10,2025-03-16 08:33:00,3,2025-03-16 10:23:00,P48680,M,1,Persbox,TKT-AJX001-1042,BC783563240,8DBA326F,Error,,OK,,1,112,17,33
44,2025-03-16,bas.dekker@email.nl,Bas,Dekker,H,5,Coördinator,18:00,22:00,1,2025-03-16 18:42:00,Send,4,0,0,4,2025-03-16 10:40:00,7,2025-03-16 13:36:00,P83048,M,1,Noordtribune,TKT-AJX001-1043,BC276678230,D72D1411,Error,Timeout bij verzenden,Pending,,1,116,22,17
45,2025-03-16,rick.dekker@email.nl,Rick,Dekker,D,8,Steward,18:00,22:00,1,,Validate,1,1,1,7,2025-03-16 07:29:00,3,2025-03-16 10:11:00,P14877,M,1,Westtribune,TKT-AJX001-1044,BC785637052,3100B2D5,Sent,Timeout bij verzenden,Pending,,1,123,12,35
46,2025-03-16,eva.meijer@email.nl,Eva,Meijer,K,2,Medisch,18:00,22:00,1,2025-03-16 19:00:00,Assign,1,1,0,8,2025-03-16 08:53:00,4,2025-03-16 13:38:00,P57537,XS,1,Persbox,TKT-AJX001-1045,BC897005281,E78F3CF0,Opened,,Pending,,1,109,9,13
47,2025-03-16,emma.dekker@email.nl,Emma,Dekker,D,10,Steward,18:00,22:00,0,,Assign,2,0,0,2,2025-03-16 10:32:00,9,2025-03-16 10:53:00,P86858,S,1,Zuidtribune,TKT-AJX001-1046,BC984968439,096EE9F9,Opened,,Pending,Kaart niet herkend,0,129,5,35
48,2025-03-16,bas.bos@email.nl,Bas,Bos,A,3,Steward,18:00,22:00,1,2025-03-16 18:41:00,Validate,5,1,0,3,2025-03-16 08:07:00,1,2025-03-16 10:32:00,P65176,XL,1,Noordtribune,TKT-AJX001-1047,BC287364857,7A43C5A6,Sent,,Error,,0,107,15,33
49,2025-03-16,anouk.meijer@email.nl,Anouk,Meijer,K,1,Steward,18:00,22:00,1,2025-03-16 18:48:00,Archive,4,0,1,8,2025-03-16 07:18:00,2,2025-03-16 11:22:00,P89730,S,1,Noordtribune,TKT-AJX001-1048,BC146562851,EE19C2DF,Delivered,,Pending,,1,133,13,39
50,2025-03-16,jeroen.peters@email.nl,Jeroen,Peters,B,2,Coördinator,18:00,22:00,0,2025-03-16 17:55:00,Archive,2,1,1,8,2025-03-16 08:42:00,7,2025-03-16 13:06:00,P22463,M,1,Westtribune,TKT-AJX001-1049,BC587173220,5AE26F17,Opened,,Error,,1,132,3,6
51,2025-03-16,daan.jansen@email.nl,Daan,Jansen,F,3,Schoonmaak,18:00,22:00,0,2025-03-16 18:15:00,Assign,1,1,1,7,2025-03-16 10:42:00,1,2025-03-16 11:13:00,P88696,M,1,Oosttribune,TKT-AJX001-1050,BC563723880,CE3A7506,Sent,,OK,,1,106,8,7
52,2025-03-16,fleur.dekker@email.nl,Fleur,Dekker,E,10,Beveiliging,18:00,22:00,1,,Send,5,1,0,3,2025-03-16 08:09:00,5,2025-03-16 13:55:00,P54541,M,1,Noordtribune,TKT-AJX001-1051,BC697285504,216590D0,Delivered,,Pending,,0,123,5,2
53,2025-03-16,daan.hendriks@email.nl,Daan,Hendriks,H,6,Beveiliging,18:00,22:00,1,2025-03-16 17:39:00,Assign,5,0,0,3,2025-03-16 07:40:00,10,2025-03-16 10:12:00,P98338,XS,1,Oosttribune,TKT-AJX001-1052,BC669601448,D2E20D2D,Error,,Error,,1,113,9,14
54,2025-03-16,jeroen.jansen@email.nl,Jeroen,Jansen,K,10,Medisch,18:00,22:00,1,,Send,2,1,0,1,2025-03-16 07:52:00,5,2025-03-16 10:54:00,P27987,M,1,Oosttribune,TKT-AJX001-1053,BC470626529,0A0E973B,Opened,,Error,,0,127,5,25
55,2025-03-16,lisa.hendriks@email.nl,Lisa,Hendriks,K,6,Steward,18:00,22:00,1,2025-03-16 18:50:00,Send,4,0,1,2,2025-03-16 10:40:00,6,2025-03-16 12:27:00,P66267,XL,1,Westtribune,TKT-AJX001-1054,BC347079497,8CF1DA41,Error,,Error,Kaart niet herkend,1,132,6,40
56,2025-03-16,joost.dekker@email.nl,Joost,Dekker,B,4,Medisch,18:00,22:00,1,,Send,4,1,1,4,2025-03-16 08:25:00,3,2025-03-16 10:19:00,P76910,XXL,1,Noordtribune,TKT-AJX001-1055,BC840463141,10F45C7A,Delivered,,Error,,0,123,8,7
57,2025-03-16,lars.peters@email.nl,Lars,Peters,K,2,Beveiliging,18:00,22:00,1,2025-03-16 17:59:00,Archive,5,1,1,3,2025-03-16 08:52:00,2,2025-03-16 12:00:00,P67961,XXL,1,Oosttribune,TKT-AJX001-1056,BC311818984,DCC65C2B,Opened,,Error,,1,111,15,29
58,2025-03-16,lotte.de_jong@email.nl,Lotte,De Jong,B,10,Schoonmaak,18:00,22:00,1,,Archive,5,0,1,10,2025-03-16 09:46:00,4,2025-03-16 11:22:00,P89299,L,1,VIP,TKT-AJX001-1057,BC495928981,FBAE935C,Delivered,,Error,,1,118,23,6
59,2025-03-16,jeroen.mulder@email.nl,Jeroen,Mulder,H,8,Schoonmaak,18:00,22:00,0,,Assign,3,1,1,7,2025-03-16 10:18:00,6,2025-03-16 12:53:00,P88366,XS,1,Persbox,TKT-AJX001-1058,BC285283722,2F083A78,Opened,Timeout bij verzenden,OK,,1,102,10,17
60,2025-03-16,lars.bakker@email.nl,Lars,Bakker,F,5,Coördinator,18:00,22:00,1,2025-03-16 17:16:00,Send,3,1,1,3,2025-03-16 09:51:00,9,2025-03-16 10:23:00,P94675,XXL,1,Westtribune,TKT-AJX001-1059,BC187512088,06981D9A,Opened,Timeout bij verzenden,Error,,0,137,11,32
61,2025-03-16,tim.van_den_berg@email.nl,Tim,Van den Berg,B,9,Schoonmaak,18:00,22:00,0,,Assign,5,0,1,3,2025-03-16 07:41:00,3,2025-03-16 13:32:00,P91885,S,1,Persbox,TKT-AJX001-1060,BC247709679,6CCB8A81,Error,Timeout bij verzenden,Error,,0,109,15,40
62,2025-03-16,julia.bos@email.nl,Julia,Bos,D,5,Medisch,18:00,22:00,0,,Assign,5,1,1,5,2025-03-16 10:19:00,7,2025-03-16 12:08:00,P79135,L,1,Zuidtribune,TKT-AJX001-1061,BC903734960,EC3303D8,Delivered,,OK,,0,128,21,31
63,2025-03-16,fleur.van_dijk@email.nl,Fleur,Van Dijk,E,2,Beveiliging,18:00,22:00,1,2025-03-16 17:57:00,Validate,4,0,0,8,2025-03-16 10:46:00,6,2025-03-16 13:58:00,P13495,L,1,Noordtribune,TKT-AJX001-1062,BC210154881,A5E27E66,Error,,OK,,0,133,12,15
64,2025-03-16,sander.bakker@email.nl,Sander,Bakker,C,1,Catering,18:00,22:00,1,2025-03-16 18:29:00,Validate,4,1,0,2,2025-03-16 07:04:00,5,2025-03-16 10:55:00,P29597,XL,1,Persbox,TKT-AJX001-1063,BC206389694,8147F23F,Error,,Error,,0,121,2,16
65,2025-03-16,eva.mulder@email.nl,Eva,Mulder,B,8,Schoonmaak,18:00,22:00,0,2025-03-16 18:20:00,Validate,2,1,1,1,2025-03-16 09:37:00,6,2025-03-16 11:01:00,P84798,L,1,Zuidtribune,TKT-AJX001-1064,BC952442674,D3FF380D,Sent,,Error,Kaart niet herkend,0,139,13,31
66,2025-03-16,lotte.mulder@email.nl,Lotte,Mulder,A,6,Steward,18:00,22:00,1,,Validate,1,1,0,1,2025-03-16 08:30:00,9,2025-03-16 11:26:00,P94252,S,1,Persbox,TKT-AJX001-1065,BC515410649,C2D9B838,Error,,Error,,0,123,3,30
67,2025-03-16,lotte.peters@email.nl,Lotte,Peters,A,6,Catering,18:00,22:00,1,2025-03-16 18:44:00,Archive,3,0,0,5,2025-03-16 08:31:00,1,2025-03-16 13:41:00,P95948,M,1,Oosttribune,TKT-AJX001-1066,BC316456682,DCFA6560,Sent,,Error,,1,102,29,25
68,2025-03-16,niels.visser@email.nl,Niels,Visser,I,5,Steward,18:00,22:00,1,2025-03-16 17:10:00,Archive,5,0,1,6,2025-03-16 07:26:00,2,2025-03-16 11:23:00,P96628,M,1,Oosttribune,TKT-AJX001-1067,BC632794158,C641777A,Error,,Error,,1,131,12,29
69,2025-03-16,lotte.hendriks@email.nl,Lotte,Hendriks,E,1,Steward,18:00,22:00,1,2025-03-16 17:46:00,Validate,1,0,1,1,2025-03-16 07:32:00,2,2025-03-16 11:00:00,P94562,M,1,Oosttribune,TKT-AJX001-1068,BC478557676,FB2AE1D4,Error,,OK,,1,139,12,24
70,2025-03-16,joost.bos@email.nl,Joost,Bos,F,7,Catering,18:00,22:00,1,,Validate,1,0,0,8,2025-03-16 09:12:00,7,2025-03-16 13:53:00,P83619,XS,1,Oosttribune,TKT-AJX001-1069,BC182555101,E6D603CB,Opened,,OK,,1,136,23,32
71,2025-03-16,tim.jansen@email.nl,Tim,Jansen,L,8,Steward,18:00,22:00,1,2025-03-16 18:25:00,Assign,1,1,1,3,2025-03-16 10:02:00,3,2025-03-16 13:23:00,P57381,XL,1,Zuidtribune,TKT-AJX001-1070,BC245737277,5E36AD2E,Sent,,OK,,1,104,1,24
72,2025-03-16,lisa.meijer@email.nl,Lisa,Meijer,I,3,Schoonmaak,18:00,22:00,0,2025-03-16 17:08:00,Assign,4,1,1,7,2025-03-16 10:30:00,10,2025-03-16 10:18:00,P26426,M,1,Persbox,TKT-AJX001-1071,BC496115351,677C9361,Sent,,Pending,,0,129,29,36
73,2025-03-16,sophie.bos@email.nl,Sophie,Bos,A,2,Schoonmaak,18:00,22:00,0,2025-03-16 17:38:00,Validate,2,1,0,6,2025-03-16 11:00:00,9,2025-03-16 13:49:00,P47230,XS,1,Oosttribune,TKT-AJX001-1072,BC238548086,C005DDC7,Delivered,,Pending,,1,127,20,35
74,2025-03-16,daan.van_dijk@email.nl,Daan,Van Dijk,J,3,Beveiliging,18:00,22:00,1,2025-03-16 18:47:00,Send,1,0,0,10,2025-03-16 08:07:00,4,2025-03-16 13:16:00,P84991,L,1,VIP,TKT-AJX001-1073,BC788255012,292AFB61,Sent,,Pending,,1,110,16,16
75,2025-03-16,rick.peters@email.nl,Rick,Peters,C,8,Medisch,18:00,22:00,1,2025-03-16 17:59:00,Validate,3,0,1,6,2025-03-16 10:07:00,6,2025-03-16 11:42:00,P27139,M,1,VIP,TKT-AJX001-1074,BC586989309,D84B6409,Sent,,Error,,1,104,8,10
76,2025-03-16,emma.de_jong@email.nl,Emma,De Jong,G,4,Beveiliging,18:00,22:00,1,2025-03-16 18:59:00,Assign,2,0,1,9,2025-03-16 08:59:00,8,2025-03-16 13:45:00,P50441,L,1,Noordtribune,TKT-AJX001-1075,BC411612760,D3B4C217,Sent,,Pending,,0,124,7,38
77,2025-03-16,fleur.de_jong@email.nl,Fleur,De Jong,K,8,Catering,18:00,22:00,0,2025-03-16 18:48:00,Send,4,0,1,6,2025-03-16 10:15:00,7,2025-03-16 11:33:00,P15930,L,1,Noordtribune,TKT-AJX001-1076,BC154267347,41AD373F,Delivered,,Error,Kaart niet herkend,1,118,25,36
78,2025-03-16,bas.dekker@email.nl,Bas,Dekker,B,7,Catering,18:00,22:00,1,,Assign,2,0,1,9,2025-03-16 07:10:00,1,2025-03-16 10:09:00,P27961,XXL,1,Oosttribune,TKT-AJX001-1077,BC769200551,419416F9,Error,,OK,,0,139,11,40
79,2025-03-16,niels.visser@email.nl,Niels,Visser,E,10,Catering,18:00,22:00,1,2025-03-16 18:30:00,Assign,4,0,1,6,2025-03-16 09:52:00,2,2025-03-16 11:46:00,P86507,M,1,Persbox,TKT-AJX001-1078,BC521931770,79C7D7A6,Sent,,Error,,0,139,24,4
80,2025-03-16,noor.visser@email.nl,Noor,Visser,G,3,Coördinator,18:00,22:00,0,2025-03-16 17:04:00,Send,2,0,1,6,2025-03-16 08:47:00,3,2025-03-16 11:45:00,P36724,L,1,VIP,TKT-AJX001-1079,BC662890182,4C5C7A08,Error,,Pending,,0,139,17,14
81,2025-03-16,lisa.bakker@email.nl,Lisa,Bakker,F,3,Medisch,18:00,22:00,1,2025-03-16 18:09:00,Assign,3,1,0,4,2025-03-16 08:11:00,9,2025-03-16 11:16:00,P39473,M,1,Oosttribune,TKT-AJX001-1080,BC811060614,02EB6662,Delivered,,Error,,1,130,18,18
82,2025-03-16,julia.jansen@email.nl,Julia,Jansen,G,6,Beveiliging,18:00,22:00,1,2025-03-16 17:05:00,Assign,1,1,1,5,2025-03-16 10:11:00,8,2025-03-16 10:54:00,P36485,XL,1,Oosttribune,TKT-AJX001-1081,BC715766024,BBA45E0A,Opened,,Pending,,0,134,8,4
83,2025-03-16,jeroen.van_den_berg@email.nl,Jeroen,Van den Berg,G,6,Coördinator,18:00,22:00,1,,Send,2,0,0,7,2025-03-16 09:47:00,8,2025-03-16 12:02:00,P95267,S,1,Oosttribune,TKT-AJX001-1082,BC784987769,0DD34832,Opened,,OK,,0,114,21,37
84,2025-03-16,anouk.van_dijk@email.nl,Anouk,Van Dijk,C,7,Beveiliging,18:00,22:00,0,2025-03-16 18:47:00,Archive,4,0,1,1,2025-03-16 07:02:00,5,2025-03-16 12:25:00,P89007,XS,1,Oosttribune,TKT-AJX001-1083,BC893158610,53B6FE49,Opened,,Pending,,1,102,29,9
85,2025-03-16,jeroen.de_vries@email.nl,Jeroen,De Vries,F,3,Coördinator,18:00,22:00,1,2025-03-16 18:22:00,Assign,2,0,1,5,2025-03-16 09:25:00,4,2025-03-16 10:44:00,P90079,XXL,1,Westtribune,TKT-AJX001-1084,BC392956587,8770F186,Error,,OK,,0,112,6,9
